i,x1[i],T1[i],P1[i],v1[i],rho1[i],alfa1[i],T3[i],P3[i],v3[i],rho3[i],alfa3[i],T2[i],T4[i]
848,0.424,960.692271633021,16099814.8324803,6.41565608286511,27.2880022151845,4478.38493099713,726.524508398101,14999040.8048399,12.8194994466699,4.96602675491323,3294.54204485496,862.802596613635,755.450657658184
849,0.4245,960.666531263495,16099814.595266,6.4154842791011,27.2887329755276,4478.37777675781,726.814214778238,14999040.0096105,12.8246119855216,4.96404704552697,3294.74250155612,862.860072874897,755.604229185897
850,0.425,960.640812266013,16099814.3580352,6.41531261806456,27.2894631678763,4478.37062761668,727.103241642498,14999039.2149335,12.8297125344078,4.96207355122136,3294.94234605389,862.916101962896,755.678124908645
851,0.4255,960.615114828742,16099814.1207874,6.41514110101221,27.2901927867902,4478.36348354885,727.391402871434,14999038.4210186,12.8347978090751,4.96010752828103,3295.14157946593,862.972866148117,755.830102835909
852,0.426,960.589438568994,16099813.8835233,6.41496972538821,27.2909218430474,4478.35634452891,727.678885523993,14999037.6276561,12.8398711103489,4.95814768619031,3295.34020338232,863.02819597416,755.902996854565
853,0.4265,960.563783671403,16099813.6462426,6.41479849242568,27.2916503313082,4478.34921053191,727.965504861665,14999036.8350541,12.8449291783431,4.95619526996643,3295.53821890873,863.084247278001,756.053384632434
854,0.427,960.538149756652,16099813.4089457,6.4146273995913,27.2923782622572,4478.34208153238,728.251446559576,14999036.0430046,12.8499752894651,4.95424900069269,3295.7356276195,863.138876867065,756.125276087736
855,0.4275,960.512537005877,16099813.1716324,6.41445644809485,27.2931056306544,4478.33495750533,728.536527250284,14999035.2517142,12.8550062080219,4.95231011222938,3295.93243060843,863.194214462847,756.274077143348
856,0.428,960.48694504309,16099812.9343031,6.41428563542522,27.293832447092,4478.32783842525,728.820931234903,14999034.4609764,12.8600251861755,4.95037733714507,3296.12862943432,863.248142820356,756.34496518182
857,0.4285,960.461374045971,16099812.6969577,6.41411496276909,27.2945587064289,4478.32072426709,729.104476507255,14999033.6709961,12.8650290122535,4.94845189825239,3296.3242251792,863.302765859849,756.492182918492
858,0.429,960.435823641813,16099812.4595965,6.4139444276373,27.295284419166,4478.31361500529,729.387346004183,14999032.8815684,12.8700209143446,4.94653253949279,3296.51921938647,863.355991971443,756.562066692358
859,0.4295,960.410294004879,16099812.2222193,6.4137740311937,27.2960095802598,4478.30651061474,729.669359071036,14999032.0928968,12.8749977046246,4.94462047273927,3296.71361312656,863.409899584652,756.707704489674
860,0.43,960.3847847657,16099811.9848266,6.41360377097074,27.2967342001214,4478.29941106983,729.950697290066,14999031.3047779,12.8799625872798,4.94271445319495,3296.90740792765,863.462422415953,756.776583156769
861,0.4305,960.35929609516,16099811.7474182,6.4134336481097,27.297458273804,4478.29231634541,730.23118134847,14999030.5174136,12.8849123981639,4.94081568190019,3297.10060484864,863.515613710903,756.920644370677
862,0.431,960.333827626986,16099811.5099944,6.4132636601644,27.2981818116296,4478.28522641581,730.510991483524,14999029.7306021,12.88985031773,4.93892292520971,3297.29320540266,863.567432207276,756.98851709436
863,0.4315,960.308379528716,16099811.2725552,6.41309380825377,27.2989048087471,4478.27814125582,730.789949714665,14999028.9445437,12.8947732053401,4.93703737343702,3297.48521063724,863.619906269798,757.131005057266
864,0.432,960.282951437235,16099811.0351008,6.4129240899527,27.299627275391,4478.27106083973,731.068234943744,14999028.1590382,12.899684217883,4.93515780397964,3297.67662205057,863.671019356114,757.197871006333
865,0.4325,960.257543516772,16099810.7976311,6.41275450635803,27.3003492068047,4478.26398514227,731.345670512889,14999027.3742844,12.9045802380603,4.93328539652888,3297.86744067896,863.722775249627,757.338789027194
866,0.433,960.232155407325,16099810.5601465,6.41258505506544,27.3010706131364,4478.25691413767,731.622433998014,14999026.5900834,12.909464399364,4.93141893941739,3298.05766800582,863.773181830022,757.404647375797
867,0.4335,960.206787269851,16099810.3226468,6.41241573714992,27.3017914897229,4478.2498478006,731.89835005445,14999025.8066328,12.9143336076679,4.92955960181783,3298.24730505634,863.824218595311,757.543998740219
868,0.434,960.181438747421,16099810.0851325,6.41224655022767,27.3025118466271,4478.24278610526,732.173594941606,14999025.0237351,12.9191909732334,4.92770618289147,3298.43635329931,863.873917552945,757.608848667782
869,0.4345,960.156109997755,16099809.8476033,6.41207749535206,27.3032316792785,4478.23572902624,732.447994618594,14999024.2415864,12.9240334249405,4.92585984139478,3298.62481374891,863.924234207943,757.746636638113
870,0.435,960.130800666953,16099809.6100596,6.41190857015953,27.3039509976558,4478.22867653771,732.721724037677,14999023.4599906,12.928864049985,4.92401938721228,3298.81268785946,863.973224404755,757.810477329252
871,0.4355,960.105510909536,16099809.3725013,6.41173977568207,27.3046697972799,4478.22162861418,732.994610452386,14999022.6791423,12.9336798000878,4.92218596878561,3298.99997663426,864.022819944317,757.946705144683
872,0.436,960.080240374594,16099809.1349288,6.41157110957611,27.3053880880469,4478.21458522976,733.266827517146,14999021.8988471,12.9384837395438,4.92035840661829,3299.18668151331,864.071100220782,758.009535789125
873,0.4365,960.054989213479,16099808.8973418,6.41140257285247,27.306105865568,4478.20754635894,733.538203770608,14999021.1192981,12.9432728427503,4.9185378389374,3299.37280348914,864.119973616459,758.144206665783
874,0.437,960.029757078235,16099808.6597408,6.41123416318728,27.3068231396575,4478.20051197573,733.808911578596,14999020.3403022,12.9480501512642,4.91672309676237,3299.55834398757,864.167542791342,758.206026458291
875,0.4375,960.004544117079,16099808.4221256,6.41106588157044,27.3075399060164,4478.19348205458,734.078780755644,14999019.5620511,12.9528126619966,4.91491530820495,3299.74330399045,864.215692991156,758.33914358934
876,0.438,959.979349984965,16099808.1844966,6.41089772569752,27.3082561743779,4478.18645656946,734.347982388158,14999018.7843531,12.9575633939283,4.91311331469845,3299.92768490959,864.262549861259,758.399951729635
877,0.4385,959.954174827012,16099807.9468536,6.41072969653774,27.3089719405321,4478.17943549472,734.616347557376,14999018.0073986,12.9622993663221,4.91131823433741,3300.1114877163,864.309975789472,758.531518285374
